lat,lon,isdisabled,time
34.08704758333333,-118.37018585,0,2022-06-05 04:32:08.620253+00:00
34.10176086666667,-118.30017853333332,0,2022-06-05 04:32:08.620253+00:00
34.10204315,-118.30944061666666,0,2022-06-05 04:32:08.620253+00:00
34.03172683333333,-118.45319366666666,0,2022-06-05 04:32:08.620253+00:00
34.09059906666666,-118.31389618333333,0,2022-06-05 04:32:08.620253+00:00
33.988418583333335,-118.44606781666668,0,2022-06-05 04:32:08.620253+00:00
34.05264663333333,-118.30857086666668,0,2022-06-05 04:32:08.620253+00:00
34.040870000000005,-118.24678,0,2022-06-05 04:32:08.620253+00:00
34.04920196666667,-118.25857543333335,1,2022-06-05 04:32:08.620253+00:00
34.047523500000004,-118.45357513333332,0,2022-06-05 04:32:08.620253+00:00
34.031016666666666,-118.28272166666666,0,2022-06-05 04:32:08.620253+00:00
34.05308915,-118.43019103333333,1,2022-06-05 04:32:08.620253+00:00
33.985665000000004,-118.46755999999999,0,2022-06-05 04:32:08.620253+00:00
34.017200466666665,-118.28191375,0,2022-06-05 04:32:08.620253+00:00
34.081855000000004,-118.35636166666667,0,2022-06-05 04:32:08.620253+00:00
34.05259323333333,-118.29125213333333,0,2022-06-05 04:32:08.620253+00:00
34.06130218333333,-118.43681335000001,0,2022-06-05 04:32:08.620253+00:00
34.07251333333333,-118.44085666666666,0,2022-06-05 04:32:08.620253+00:00
34.07247161666667,-118.44083405,0,2022-06-05 04:32:08.620253+00:00
34.04650496666667,-118.25904846666666,0,2022-06-05 04:32:08.620253+00:00
34.03712845,-118.27029418333335,0,2022-06-05 04:32:08.620253+00:00
34.07251358333333,-118.44085693333334,0,2022-06-05 04:32:08.620253+00:00
34.03662491666667,-118.42544555,0,2022-06-05 04:32:08.620253+00:00
34.0172348,-118.28204345,0,2022-06-05 04:32:08.620253+00:00
33.98618698333333,-118.45528411666668,0,2022-06-05 04:32:08.620253+00:00
34.06226348333333,-118.30815125,0,2022-06-05 04:32:08.620253+00:00
34.02639008333333,-118.37181854999999,0,2022-06-05 04:32:08.620253+00:00
34.04981995,-118.26395416666668,1,2022-06-05 04:32:08.620253+00:00
34.10172271666667,-118.30832671666667,0,2022-06-05 04:32:08.620253+00:00
34.08705833333333,-118.37030000000001,0,2022-06-05 04:32:08.620253+00:00
34.073425,-118.45274333333333,0,2022-06-05 04:32:08.620253+00:00
34.10402298333334,-118.33885955,0,2022-06-05 04:32:08.620253+00:00
33.98451615,-118.45781708333334,0,2022-06-05 04:32:08.620253+00:00
34.069778449999994,-118.44486236666668,0,2022-06-05 04:32:08.620253+00:00
33.98098755,-118.46351623333334,0,2022-06-05 04:32:08.620253+00:00
34.027645,-118.39669,0,2022-06-05 04:32:08.620253+00:00
34.09983,-118.32995666666666,0,2022-06-05 04:32:08.620253+00:00
34.06596783333334,-118.23783916666667,0,2022-06-05 04:32:08.620253+00:00
34.04719543333333,-118.2601471,0,2022-06-05 04:32:08.620253+00:00
34.05016333333333,-118.23803666666666,0,2022-06-05 04:32:08.620253+00:00
34.04877471666667,-118.26289368333333,0,2022-06-05 04:32:08.620253+00:00
33.98515,-118.45691666666669,0,2022-06-05 04:32:08.620253+00:00
34.01712418333333,-118.40541076666665,0,2022-06-05 04:32:08.620253+00:00
